,all_features,selected_features_1,selected_features_2,selected_features_3,selected_features_4,selected_features_5
ROC_AUC,0.5653084150326797,0.3986291486291486,0.3986291486291486,0.3986291486291486,0.3986291486291486,0.3986291486291486
p_val,0.24752475247524752,0.9207920792079208,0.9207920792079208,0.9207920792079208,0.9207920792079208,0.9207920792079208
number_of_selected_features,20.0,1.0,1.0,1.0,1.0,1.0
